customer_age,customer_tenure_months,payment_amount,previous_payment_success_rate,previous_failed_payments,days_since_last_payment,payment_method,failure_reason,subscription_age_months,customer_lifetime_value,previous_recovery_count,recovered
53,13,712.55,0.52,3,23,card,card_declined,30,10158.08,2,0
53,25,363.37,0.81,3,43,wallet,card_declined,6,9248.5,1,0
43,2,1100.55,0.58,0,32,card,card_declined,13,10710.35,1,0
60,2,386.27,0.93,2,28,upi,bank_error,18,6583.6,0,0
44,16,1281.65,0.52,3,33,card,card_declined,18,16820.98,1,0
22,9,1816.25,0.76,1,26,upi,network_error,23,13870.61,1,0
37,28,1322.51,0.74,1,81,upi,bank_error,36,5698.97,1,0
28,13,1444.79,0.52,2,42,wallet,insufficient_funds,28,2139.89,3,0
27,35,2257.16,0.66,3,29,upi,bank_error,6,6396.2,2,0
57,41,1076.28,0.81,0,2,upi,expired_card,16,4701.43,0,0
55,13,615.1,0.59,4,34,card,insufficient_funds,25,11982.71,1,0
23,31,716.04,0.47,2,38,card,card_declined,12,2832.84,0,1
25,21,726.94,0.77,1,12,netbanking,card_declined,42,1639.85,0,1
40,32,528.3,0.53,2,52,card,insufficient_funds,28,1027.97,1,0
64,54,1898.74,0.81,2,21,netbanking,network_error,29,13746.61,1,1
43,34,1585.78,0.9,0,40,card,bank_error,27,14516.02,1,1
63,8,341.89,0.47,3,67,card,insufficient_funds,13,25326.5,1,1
60,59,614.97,0.66,1,49,wallet,insufficient_funds,16,26306.83,1,0
29,41,510.61,0.67,1,26,netbanking,insufficient_funds,22,18533.43,1,1
43,48,1369.42,0.78,1,52,card,bank_error,20,9495.57,0,1
30,2,2329.84,0.6,2,62,card,network_error,33,3536.82,1,0
57,38,1500.76,0.65,3,69,wallet,insufficient_funds,7,3017.29,2,0
35,32,671.27,0.41,3,61,card,bank_error,36,5088.18,1,0
42,54,877.18,0.47,1,84,card,bank_error,44,11310.43,1,0
50,40,413.64,0.74,1,46,upi,card_declined,9,2232.91,0,0
64,58,436.46,0.53,1,72,card,insufficient_funds,11,2102.87,2,0
57,28,1982.74,0.49,4,29,card,card_declined,25,7788.39,1,0
60,37,3013.56,0.59,2,50,upi,insufficient_funds,33,2207.36,1,0
29,41,664.92,0.5,4,2,netbanking,insufficient_funds,42,1354.92,0,0
61,1,1134.2,0.44,1,64,wallet,insufficient_funds,47,4428.02,0,0
53,41,1815.95,0.57,0,66,upi,bank_error,20,9277.96,3,0
65,10,342.17,0.5,1,43,upi,insufficient_funds,34,2734.32,0,0
21,55,526.33,0.88,2,87,upi,card_declined,25,1860.88,2,0
22,4,4427.3,0.44,0,10,card,insufficient_funds,44,1851.82,1,0
54,35,560.93,0.85,3,53,wallet,insufficient_funds,15,5356.45,1,0
25,10,851.26,0.63,0,83,card,expired_card,27,4456.5,0,0
59,47,719.06,0.81,0,28,card,insufficient_funds,33,3114.49,0,1
66,11,271.42,0.43,0,2,upi,bank_error,31,3679.13,0,1
45,14,1162.01,0.95,0,29,card,insufficient_funds,15,6581.2,1,0
48,38,1077.42,0.86,1,52,card,insufficient_funds,13,5071.16,1,1
26,12,1244.63,0.48,0,14,card,expired_card,41,2960.49,2,1
68,45,1033.59,0.53,0,28,card,bank_error,16,12304.02,1,1
46,17,794.81,0.79,2,1,netbanking,bank_error,30,13911.74,0,0
31,16,763.5,0.95,2,59,upi,expired_card,17,2439.09,0,0
57,35,772.69,0.67,2,44,card,bank_error,18,1820.52,0,0
58,2,548.9,0.69,1,80,card,bank_error,21,4637.74,0,1
39,11,611.76,0.54,0,85,upi,insufficient_funds,32,7117.76,0,1
28,41,555.38,0.63,2,78,upi,bank_error,12,4953.93,1,1
40,3,1638.26,0.57,1,43,upi,card_declined,1,28684.94,0,1
18,29,1358.68,0.61,0,17,netbanking,card_declined,13,5758.28,1,0
63,18,1117.66,0.41,0,54,card,insufficient_funds,8,5804.62,0,0
54,20,4270.92,0.42,2,15,upi,network_error,44,7749.01,0,1
38,47,573.65,0.81,0,48,upi,network_error,41,5750.61,2,1
43,14,2399.81,0.81,1,46,wallet,expired_card,14,5678.53,4,0
63,34,914.14,0.6,0,49,card,card_declined,16,1548.52,1,0
53,49,1224.17,0.93,2,36,card,insufficient_funds,19,3706.81,1,0
40,54,1754.25,0.56,0,14,card,card_declined,10,4070.7,1,0
18,31,785.03,0.64,2,3,upi,card_declined,31,7673.98,0,1
68,58,523.38,0.84,1,6,card,expired_card,36,14408.47,1,0
57,40,587.43,0.85,1,22,netbanking,insufficient_funds,3,5991.76,0,0
32,42,251.04,0.92,1,22,wallet,insufficient_funds,2,3163.96,0,0
38,58,1676.99,0.42,1,36,card,card_declined,37,1532.63,3,1
64,18,1648.99,0.51,0,71,upi,network_error,18,20192.43,2,1
26,30,3322.77,0.78,0,50,card,insufficient_funds,14,3621.44,3,1
26,25,1466.23,0.6,1,76,netbanking,insufficient_funds,2,10221.78,0,0
27,19,1734.82,0.43,0,80,card,card_declined,24,6502.52,2,0
69,8,1035.79,0.75,1,69,wallet,bank_error,2,12945.4,1,0
43,28,1518.4,0.64,0,35,card,bank_error,24,1342.18,1,1
58,8,2351.28,0.62,0,9,card,expired_card,14,2011.2,1,0
52,31,1245.17,0.56,2,29,upi,expired_card,1,2547.77,2,0
69,3,761.38,0.4,1,27,card,insufficient_funds,46,28061.02,1,1
42,3,939.96,0.51,0,57,card,card_declined,11,2188.34,1,0
43,44,1856.23,0.68,1,74,upi,network_error,15,3275.04,0,0
28,22,777.52,0.57,2,89,upi,expired_card,8,3620.75,1,0
55,17,2043.35,0.92,0,59,wallet,insufficient_funds,29,10305.8,2,0
19,36,4171.45,0.49,4,42,card,card_declined,30,30794.65,2,0
24,17,2061.16,0.93,0,53,upi,insufficient_funds,42,10613.53,1,1
35,14,1850.1,0.64,0,38,netbanking,network_error,25,4615.75,1,1
44,51,1398.76,0.57,0,89,netbanking,expired_card,3,1314.67,1,0
51,9,636.63,0.58,1,4,card,bank_error,1,9391.53,1,1
44,30,597.46,0.6,3,52,card,expired_card,27,6537.22,1,0
34,21,593.28,0.7,3,44,card,insufficient_funds,24,6297.86,0,0
60,12,1616.98,0.61,1,23,upi,bank_error,24,6038.78,0,0
61,37,834.95,0.79,3,74,netbanking,card_declined,40,7069.5,0,0
68,32,1074.6,0.66,3,70,netbanking,bank_error,3,18827.9,0,0
41,11,1470.06,0.8,1,77,netbanking,insufficient_funds,1,1319.68,1,1
42,20,608.93,0.76,1,69,card,card_declined,7,8409.58,0,0
24,35,771.74,0.55,1,60,card,network_error,22,6771.64,1,1
69,53,1374.74,0.89,0,4,card,insufficient_funds,11,7233.92,0,1
23,47,894.62,0.88,1,3,upi,bank_error,4,1992.57,0,1
41,46,955.07,0.99,1,23,card,card_declined,18,2024.91,1,0
50,11,532.27,0.51,1,37,card,insufficient_funds,11,4180.1,2,0
66,52,964.16,0.91,0,18,card,insufficient_funds,33,7132.33,1,1
46,8,3486.03,0.92,1,5,card,network_error,43,8532.06,1,0
60,4,802.36,0.79,1,41,card,insufficient_funds,41,7813.38,1,0
39,27,491.32,0.7,2,38,wallet,card_declined,2,15691.31,0,0
43,44,2144.57,0.97,1,47,card,card_declined,23,6549.98,1,0
45,40,1581.85,0.98,3,82,netbanking,insufficient_funds,25,3755.49,1,0
67,38,1272.62,0.79,2,72,wallet,insufficient_funds,9,34339.81,1,1
38,47,435.7,0.62,1,12,card,card_declined,20,6177.89,1,0
66,30,481.24,0.89,1,30,wallet,card_declined,46,6327.0,0,0
24,44,373.86,0.45,1,86,card,insufficient_funds,47,3337.76,1,0
34,48,1483.37,0.57,0,6,wallet,insufficient_funds,9,4501.65,0,1
37,48,2239.28,0.99,2,61,netbanking,card_declined,15,4577.86,0,1
58,27,1518.82,0.89,1,72,netbanking,insufficient_funds,42,11542.53,0,0
66,21,4293.82,0.96,1,64,card,bank_error,34,6080.68,0,1
37,52,804.86,0.76,3,69,netbanking,expired_card,15,7744.0,1,0
39,20,874.31,0.64,1,11,wallet,card_declined,33,2190.29,0,0
45,4,1181.56,0.99,4,62,netbanking,insufficient_funds,44,4189.37,0,0
57,11,933.88,0.59,2,17,card,bank_error,22,20135.05,1,0
66,13,1554.79,0.85,3,77,card,card_declined,36,7252.02,1,0
24,9,700.83,0.73,1,20,card,bank_error,13,3982.26,0,1
18,4,413.1,0.54,1,26,upi,expired_card,42,4361.19,0,0
49,12,313.39,0.41,1,59,card,insufficient_funds,14,1194.6,0,1
30,9,1535.11,0.63,1,25,wallet,bank_error,42,4058.5,0,0
47,13,758.89,0.73,1,18,upi,card_declined,43,12163.96,0,1
40,48,483.63,0.51,3,29,card,network_error,15,1829.35,2,0
68,26,710.99,0.65,4,67,upi,insufficient_funds,33,9741.75,0,0
36,38,4301.73,0.77,0,35,upi,insufficient_funds,3,10122.16,0,0
49,42,503.9,0.83,1,15,card,card_declined,7,4610.26,0,1
47,13,1824.45,0.43,3,51,card,insufficient_funds,46,5909.27,1,0
46,39,1472.57,0.8,3,3,upi,card_declined,40,15023.0,2,0
66,28,2804.56,0.43,0,21,upi,insufficient_funds,41,1596.33,1,1
62,58,1006.1,0.42,2,61,upi,bank_error,5,8659.71,1,0
46,19,367.88,0.49,1,3,card,insufficient_funds,26,2049.5,1,0
47,24,2196.85,0.79,1,53,card,expired_card,37,10018.0,1,1
33,19,920.69,0.43,0,35,upi,bank_error,2,2125.43,1,1
57,49,2676.12,0.41,5,50,upi,insufficient_funds,1,13662.47,0,0
36,13,1941.43,0.47,2,8,upi,card_declined,4,3620.56,1,0
35,13,2201.97,0.97,1,48,upi,expired_card,28,1346.15,0,0
18,58,5755.65,0.94,3,3,card,expired_card,42,4113.44,1,0
31,28,1335.95,0.45,1,54,card,insufficient_funds,10,2355.89,1,0
68,53,3010.91,0.58,2,75,card,insufficient_funds,15,11255.16,0,0
64,2,826.01,0.97,2,2,upi,insufficient_funds,18,15869.38,0,1
67,10,1601.18,0.46,0,33,card,network_error,46,3019.03,0,0
19,22,771.56,0.46,2,72,card,insufficient_funds,39,6919.83,2,0
45,13,1533.75,0.45,0,12,card,network_error,12,6774.74,0,1
66,58,1425.62,0.99,1,19,card,card_declined,8,3268.23,0,0
67,9,259.2,0.85,2,18,netbanking,network_error,42,4612.15,0,1
47,33,714.65,0.53,3,50,upi,expired_card,1,3351.88,0,0
55,14,1288.48,0.43,2,85,upi,expired_card,35,3281.23,1,0
68,48,225.84,0.98,0,22,wallet,insufficient_funds,6,9766.48,1,1
21,20,1025.47,0.66,5,30,card,bank_error,46,4945.66,1,1
18,15,2221.48,0.76,1,82,card,network_error,16,9739.62,0,0
25,32,2724.86,0.57,0,6,upi,bank_error,21,16950.17,2,0
46,33,634.15,0.86,0,1,netbanking,network_error,13,5776.68,0,0
56,17,2850.03,0.52,4,9,wallet,card_declined,6,2198.19,1,0
20,24,2554.68,0.87,2,52,upi,expired_card,39,6716.0,2,0
49,30,243.83,0.54,1,80,upi,insufficient_funds,29,6284.61,0,0
27,13,1189.22,0.46,0,29,wallet,insufficient_funds,2,3585.43,0,0
27,59,1284.98,0.69,1,62,netbanking,insufficient_funds,4,8901.44,1,0
36,47,3175.3,0.89,4,29,netbanking,bank_error,20,3623.07,3,1
63,48,1340.06,0.63,1,5,card,bank_error,8,3755.93,1,1
51,16,2909.14,0.42,1,83,upi,bank_error,2,3059.04,0,1
50,2,634.89,0.73,2,22,upi,bank_error,4,5760.95,2,0
40,17,358.3,0.81,1,49,card,bank_error,41,5985.4,0,1
45,32,696.81,0.84,2,8,upi,card_declined,39,6230.95,1,1
49,43,3307.31,0.64,0,82,card,insufficient_funds,18,8975.6,0,1
67,8,2096.75,0.46,1,78,upi,network_error,46,5987.82,1,0
24,52,5573.19,0.75,2,68,netbanking,card_declined,33,2922.58,1,0
46,3,399.28,0.6,2,40,card,card_declined,10,5117.33,0,0
25,12,2273.16,0.97,0,24,upi,expired_card,39,2046.22,1,0
18,20,1860.14,0.7,2,76,upi,insufficient_funds,18,14298.97,3,0
20,16,898.1,0.68,1,13,upi,insufficient_funds,19,1353.43,0,0
41,14,1887.77,0.59,2,50,upi,network_error,31,5152.77,2,0
40,16,1209.52,0.6,0,45,upi,insufficient_funds,45,6047.75,1,0
25,59,1513.55,0.71,2,4,netbanking,card_declined,15,11484.98,0,1
64,53,1765.85,0.58,1,63,card,card_declined,39,2920.92,0,0
54,49,2177.81,0.94,1,65,upi,network_error,34,7079.57,0,1
20,43,1165.34,0.66,2,27,card,insufficient_funds,20,1187.32,1,1
68,49,3805.24,0.58,2,87,upi,expired_card,32,7829.51,1,0
50,51,942.93,0.49,3,63,wallet,bank_error,28,5866.12,0,0
45,54,4099.54,0.8,2,11,card,bank_error,26,2790.05,1,0
64,33,497.95,0.42,1,42,card,bank_error,39,3730.82,5,0
25,30,550.3,0.67,3,85,netbanking,bank_error,38,6422.19,1,0
51,59,573.32,0.73,0,86,card,card_declined,18,5081.28,0,0
52,12,2142.66,0.6,1,38,upi,expired_card,46,5594.89,3,1
49,15,624.02,0.85,2,70,card,card_declined,11,4990.79,0,0
41,18,3112.21,0.81,1,89,card,insufficient_funds,43,5202.25,0,0
31,28,758.6,0.98,1,62,upi,expired_card,10,12442.4,0,0
49,23,1450.26,0.71,1,4,netbanking,insufficient_funds,2,8987.97,0,1
63,14,1716.53,0.72,1,34,upi,insufficient_funds,35,6097.63,2,0
60,30,538.6,0.55,1,26,netbanking,expired_card,42,5843.85,0,0
33,33,414.25,0.63,1,54,upi,insufficient_funds,33,3990.49,0,0
21,45,1336.78,0.42,2,27,netbanking,card_declined,14,17944.71,1,1
69,15,903.19,0.81,2,39,wallet,bank_error,9,3013.99,1,0
54,7,1554.51,0.59,2,85,card,insufficient_funds,7,1525.24,1,0
38,15,427.54,0.72,4,21,upi,expired_card,23,2128.45,0,1
31,52,854.29,0.55,2,54,card,card_declined,7,1094.89,3,0
48,42,965.57,0.77,3,56,upi,bank_error,1,9905.09,0,1
65,46,199.09,0.67,2,63,upi,card_declined,20,1507.84,0,1
35,38,2201.34,0.69,0,42,upi,card_declined,46,12360.03,0,0
24,46,645.35,0.97,1,26,card,card_declined,40,3212.1,1,1
27,56,3131.96,0.82,0,69,card,bank_error,35,1464.8,0,0
24,57,675.21,0.56,1,20,card,insufficient_funds,38,4431.03,0,1
50,54,761.33,0.7,0,72,card,expired_card,47,18592.21,1,0
40,44,459.74,0.68,2,82,card,insufficient_funds,47,3616.14,1,1
38,11,2447.03,0.88,0,53,card,bank_error,8,29396.8,0,0
36,29,1507.06,0.9,4,69,card,card_declined,31,1559.4,3,0
65,31,2922.21,0.57,0,68,card,card_declined,19,5974.67,0,0
36,25,948.48,0.89,0,5,netbanking,expired_card,5,7183.78,0,1
53,52,1065.07,0.51,0,16,upi,expired_card,45,9621.09,1,0
46,54,337.85,0.86,1,9,card,network_error,34,10125.26,2,1
35,24,708.51,0.55,2,25,upi,card_declined,44,5079.0,1,0
19,57,1235.65,0.58,0,57,wallet,network_error,16,12996.44,0,0
18,19,1438.05,0.91,0,38,card,insufficient_funds,7,2985.85,3,0
64,2,3931.42,0.65,3,8,card,bank_error,41,3151.73,1,0
22,22,300.17,0.99,2,65,wallet,card_declined,21,4051.54,0,1
37,20,1287.71,0.49,0,31,card,card_declined,44,3886.86,0,0
28,33,842.72,0.68,1,33,card,bank_error,25,5792.72,0,1
59,8,1156.15,0.84,6,55,upi,card_declined,47,8245.67,0,0
19,25,1178.39,0.4,0,69,upi,bank_error,45,4457.47,1,0
20,46,959.27,0.49,1,82,card,network_error,2,3043.21,0,0
40,9,496.12,0.41,1,36,card,network_error,8,8891.63,2,1
29,34,435.66,1.0,0,84,card,insufficient_funds,19,7682.82,1,1
37,57,911.02,0.86,0,24,netbanking,network_error,42,2740.44,0,0
22,23,405.68,0.62,0,61,upi,insufficient_funds,37,1550.35,0,0
54,5,1013.3,0.49,3,83,wallet,expired_card,19,10029.27,1,0
55,55,918.41,0.45,1,28,card,insufficient_funds,1,6333.5,0,0
47,25,197.35,0.72,1,60,card,card_declined,28,1450.3,1,0
26,8,4245.14,0.99,2,79,upi,card_declined,40,8439.47,1,0
51,16,1157.57,0.8,3,73,card,bank_error,14,5212.91,0,1
61,54,199.1,0.62,2,39,card,network_error,23,7888.88,0,1
52,48,1303.74,0.7,1,31,card,expired_card,8,4044.48,0,1
69,45,951.11,1.0,3,1,card,insufficient_funds,35,2810.22,1,0
39,52,435.97,0.71,1,13,upi,insufficient_funds,31,23879.85,0,0
61,15,1361.73,0.98,1,66,wallet,card_declined,23,11488.39,1,0
41,1,567.08,0.41,0,42,card,insufficient_funds,46,6232.56,0,0
34,22,1255.29,0.83,1,37,upi,bank_error,7,3884.32,0,1
27,3,671.12,0.78,1,57,netbanking,card_declined,2,15999.21,0,0
47,38,581.78,0.81,2,35,card,insufficient_funds,19,40295.59,0,0
63,54,1084.77,0.74,3,37,wallet,bank_error,28,2775.7,0,1
40,14,352.32,0.43,4,75,netbanking,bank_error,38,5184.32,1,0
49,36,1035.07,0.49,1,82,card,network_error,36,4020.8,1,0
34,18,1737.28,0.95,0,20,wallet,card_declined,33,5545.22,0,0
67,47,2668.92,0.54,1,66,netbanking,card_declined,18,32791.48,1,0
68,41,2349.59,1.0,1,88,card,insufficient_funds,38,2245.93,0,0
34,18,2828.02,0.81,2,80,netbanking,expired_card,10,4568.31,1,1
31,3,797.67,0.67,2,23,upi,card_declined,26,1507.03,1,0
26,10,535.26,0.95,4,55,netbanking,insufficient_funds,15,10971.25,1,0
57,49,1940.59,0.88,2,57,upi,insufficient_funds,32,2168.68,1,1
19,39,763.7,0.66,0,50,card,network_error,17,2402.52,1,0
62,47,1101.45,0.44,2,38,upi,insufficient_funds,1,5213.94,0,0
42,1,1849.75,0.92,3,47,upi,insufficient_funds,15,2166.59,0,0
56,27,4513.23,0.86,1,30,upi,network_error,26,6154.27,0,1
26,57,1587.89,0.87,0,68,netbanking,insufficient_funds,34,14707.11,0,0
39,27,1265.94,0.85,1,43,upi,insufficient_funds,4,15811.12,0,0
60,11,500.31,0.57,1,27,wallet,insufficient_funds,27,9273.27,0,0
63,49,2486.29,0.92,0,82,upi,expired_card,40,5912.74,0,0
21,5,1459.79,0.4,1,64,wallet,bank_error,7,7745.6,2,0
43,7,860.06,0.54,0,6,card,bank_error,36,1062.35,1,0
46,19,800.08,0.43,2,31,card,card_declined,45,1365.61,2,1
62,57,824.85,0.47,2,76,card,bank_error,29,6905.22,1,0
51,56,1130.91,0.72,0,87,card,insufficient_funds,21,1626.18,1,1
40,29,394.92,0.42,0,29,wallet,network_error,15,1770.02,1,1
54,15,2572.45,0.51,1,3,card,expired_card,7,3628.66,0,0
28,35,2262.6,0.54,2,82,upi,insufficient_funds,47,11378.91,1,0
23,47,975.31,0.79,4,86,card,insufficient_funds,42,1526.76,0,0
35,37,826.12,0.68,1,20,netbanking,bank_error,28,15387.43,0,1
38,55,1078.98,0.68,4,80,card,expired_card,9,2328.24,1,0
59,12,1215.11,0.86,2,58,upi,insufficient_funds,30,2277.82,0,1
53,30,888.85,0.67,1,57,card,card_declined,32,10191.92,2,1
58,20,2206.93,0.61,0,71,card,network_error,44,2959.49,0,0
55,37,404.69,0.98,4,4,card,bank_error,13,9872.1,0,0
51,3,666.24,0.4,0,42,netbanking,expired_card,46,1581.14,3,0
34,9,1886.86,0.58,1,34,card,network_error,33,6063.61,0,1
54,58,1376.08,0.77,1,18,wallet,bank_error,2,1283.18,0,1
42,41,681.52,0.87,1,65,card,network_error,20,1452.83,0,1
55,39,1451.46,0.89,4,25,card,bank_error,45,6769.13,0,0
29,26,629.5,0.43,4,45,upi,card_declined,22,11172.77,0,0
40,2,882.64,0.83,2,14,card,expired_card,35,6024.87,1,0
59,23,2276.98,0.83,2,11,upi,network_error,26,7326.08,2,1
39,23,2107.29,0.53,1,52,card,network_error,3,4207.29,0,1
38,59,1341.8,0.47,0,8,upi,card_declined,41,3453.55,0,0
44,21,525.42,0.85,1,60,card,bank_error,21,3846.53,1,1
48,16,841.88,0.55,0,42,netbanking,insufficient_funds,29,9156.97,2,0
23,9,1173.24,0.4,0,16,upi,insufficient_funds,1,3872.77,0,0
44,13,3037.51,0.53,0,39,upi,expired_card,21,3899.37,3,0
57,28,314.93,0.42,1,42,wallet,card_declined,47,1936.52,1,0
51,27,595.56,0.55,3,18,upi,insufficient_funds,5,12421.37,1,0
29,51,2416.37,0.6,2,7,upi,bank_error,43,7079.94,1,0
62,52,2841.58,0.56,0,4,netbanking,insufficient_funds,3,11385.23,2,0
24,17,1044.4,0.95,1,74,card,insufficient_funds,26,3812.52,1,1
27,38,3219.18,0.54,0,30,upi,insufficient_funds,44,13281.0,1,0
62,36,656.31,0.68,3,50,card,bank_error,28,1711.11,0,0
34,1,381.28,0.97,0,45,card,card_declined,36,1989.84,0,1
43,18,1906.76,0.93,2,31,card,insufficient_funds,35,3864.53,1,0
38,51,2714.31,0.59,2,46,netbanking,network_error,45,3863.47,0,0
45,9,2682.81,0.6,0,54,upi,card_declined,21,8031.52,1,0
63,13,599.2,0.76,2,46,card,bank_error,23,7114.98,0,1
19,40,1260.88,0.95,0,5,card,bank_error,2,1391.81,1,1
60,55,1974.11,0.41,1,10,upi,insufficient_funds,47,4602.05,1,0
18,45,1353.82,0.64,3,23,upi,network_error,5,12972.25,0,1
68,15,3018.3,0.91,1,7,upi,card_declined,3,4423.45,2,0
53,43,825.9,0.65,4,58,upi,card_declined,9,2241.6,0,0
68,44,1043.74,0.83,2,47,upi,card_declined,41,2244.79,0,1
43,46,1293.79,0.82,2,21,netbanking,network_error,22,4318.18,0,1
46,4,1964.1,0.52,1,31,card,card_declined,20,7395.57,0,0
38,33,957.07,0.67,2,27,netbanking,expired_card,41,23971.28,2,1
28,24,2098.97,0.74,3,29,card,insufficient_funds,36,2255.59,1,0
57,36,3371.92,0.83,2,10,card,card_declined,4,3435.52,0,0
28,51,763.07,0.89,1,72,card,bank_error,34,15483.27,0,0
53,41,977.25,0.86,0,9,card,insufficient_funds,32,5167.1,0,1
66,10,2159.07,0.42,2,11,wallet,network_error,15,31227.25,2,1
56,36,4227.09,0.8,1,22,card,expired_card,15,4939.4,0,0
57,20,1711.58,0.7,2,50,upi,card_declined,17,9209.14,1,0
52,41,632.47,0.74,3,40,upi,bank_error,42,2718.33,0,0
51,45,1259.82,0.62,0,66,card,expired_card,30,321.51,1,0
64,44,2147.66,0.83,3,63,card,network_error,36,4942.54,1,0
41,11,620.92,0.8,2,19,card,insufficient_funds,13,2123.76,0,1
39,12,515.5,0.75,4,16,upi,network_error,6,1941.33,0,0
22,18,861.36,0.92,3,4,wallet,bank_error,31,7032.76,0,1
50,30,1740.18,0.46,2,49,upi,expired_card,20,4632.23,1,0
53,44,420.54,0.58,0,38,wallet,network_error,16,5833.57,0,0
64,48,675.09,0.7,1,7,upi,expired_card,20,1319.41,2,0
37,37,1328.18,0.98,1,55,card,bank_error,2,3300.1,3,1
36,20,2352.8,0.44,0,14,card,insufficient_funds,16,16141.72,0,0
52,25,1343.65,0.6,3,76,upi,network_error,35,1866.45,1,0
69,12,1425.5,0.96,4,85,card,expired_card,19,2273.79,0,0
60,21,2215.97,0.94,2,34,card,network_error,39,10770.56,0,1
34,25,3354.58,0.92,2,21,card,insufficient_funds,36,5792.29,1,0
62,11,3102.17,0.59,0,36,card,bank_error,32,5049.11,1,0
60,9,262.71,0.91,0,63,upi,bank_error,47,6002.38,0,0
51,50,1174.55,0.7,1,42,netbanking,network_error,35,2177.93,0,0
26,25,2077.17,0.77,4,49,upi,card_declined,4,1800.81,1,0
43,35,3604.18,0.54,4,71,upi,card_declined,33,1437.61,0,0
19,52,1717.61,0.82,0,85,upi,card_declined,6,15701.33,2,0
26,32,600.98,0.6,3,10,upi,expired_card,32,1403.4,1,0
26,49,659.24,0.61,1,21,card,network_error,3,5146.26,0,0
57,14,672.28,0.78,2,80,netbanking,insufficient_funds,21,3188.76,0,0
34,1,1360.03,0.54,1,63,card,insufficient_funds,40,12050.79,0,0
18,17,783.78,0.53,3,89,card,insufficient_funds,26,4973.34,1,0
42,25,130.16,0.62,0,77,card,network_error,47,1755.28,1,0
60,59,480.68,0.87,2,50,card,card_declined,7,6118.77,1,1
57,8,803.54,0.53,1,27,upi,insufficient_funds,39,6267.12,2,0
59,5,422.53,0.87,2,8,card,card_declined,46,2526.92,1,0
42,5,468.97,0.82,2,30,upi,bank_error,32,3841.26,1,1
56,41,4608.6,0.81,3,71,upi,insufficient_funds,37,10381.06,2,0
52,35,1090.03,0.68,0,30,upi,network_error,15,14266.7,0,0
20,19,836.91,0.85,3,18,card,card_declined,4,5068.71,0,0
67,23,1749.6,0.41,2,23,netbanking,card_declined,17,14124.53,1,0
54,9,2446.1,0.58,3,38,upi,network_error,38,6374.95,2,1
61,54,5262.87,0.81,1,30,card,card_declined,45,3694.47,0,0
61,30,3618.31,0.99,1,30,wallet,insufficient_funds,18,5647.22,1,0
68,50,1486.78,0.4,0,72,card,network_error,17,2548.51,2,0
47,16,375.04,0.71,1,76,upi,card_declined,42,3266.97,1,1
55,33,543.63,0.95,0,74,upi,insufficient_funds,14,10140.92,1,1
51,2,827.74,0.92,0,71,card,bank_error,1,855.57,5,0
29,14,1563.36,0.41,2,39,wallet,expired_card,33,3519.97,0,0
36,46,1171.48,0.72,1,17,card,insufficient_funds,17,5109.66,1,0
54,1,391.07,0.4,1,69,upi,card_declined,32,9638.99,2,0
61,26,345.08,0.87,1,85,card,bank_error,40,3984.53,0,0
66,58,1314.62,0.59,2,52,upi,insufficient_funds,42,9051.33,1,0
34,25,1192.76,0.86,0,79,wallet,bank_error,31,5630.86,0,1
27,16,946.8,0.97,3,13,upi,network_error,38,1721.34,1,0
66,15,1537.71,0.99,2,7,card,card_declined,39,3271.61,0,0
64,26,2624.82,0.94,0,88,upi,bank_error,27,4619.88,0,1
29,47,1362.46,0.52,0,68,upi,card_declined,17,6099.23,1,0
33,44,567.28,0.52,1,60,card,insufficient_funds,30,3509.09,0,1
41,16,4190.83,0.78,1,83,wallet,card_declined,39,2808.51,1,0
36,14,969.31,0.73,2,46,netbanking,expired_card,6,7772.58,1,0
25,29,1135.69,0.41,1,35,card,card_declined,11,3904.68,0,1
48,24,693.98,0.64,0,29,upi,insufficient_funds,6,6304.33,0,1
38,47,516.93,0.94,2,34,wallet,network_error,30,7598.32,1,1
34,55,547.25,0.94,5,8,card,insufficient_funds,18,15125.27,0,0
40,15,469.21,0.52,3,66,card,insufficient_funds,41,6898.91,0,0
54,19,133.36,0.63,1,4,card,insufficient_funds,4,7919.42,0,0
33,8,983.01,0.74,2,66,card,bank_error,32,6867.44,1,0
23,34,2372.37,0.91,2,57,wallet,bank_error,9,5263.63,2,1
25,2,550.58,0.72,4,4,card,network_error,3,1922.07,0,1
42,27,6579.02,0.98,2,85,card,card_declined,27,3547.49,1,0
35,10,2894.2,0.88,3,73,card,card_declined,3,1807.15,0,0
42,35,1082.73,0.97,0,66,card,insufficient_funds,46,2445.63,2,1
29,23,503.83,0.84,2,20,upi,bank_error,27,3385.16,0,1
32,49,358.54,0.93,1,55,upi,network_error,36,8564.52,1,0
43,8,1012.75,0.9,3,6,upi,insufficient_funds,13,3610.58,1,1
58,28,1150.19,0.55,1,29,card,card_declined,8,2497.7,1,0
62,23,950.44,0.54,2,80,netbanking,card_declined,14,3479.07,0,0
43,4,2318.15,0.92,2,5,wallet,expired_card,26,13845.81,0,1
64,14,3127.4,0.45,2,37,card,bank_error,37,1792.55,0,0
49,53,1526.71,0.65,0,9,card,insufficient_funds,29,7290.58,0,1
27,42,1585.3,0.89,1,37,card,bank_error,3,7653.88,0,1
33,29,879.29,0.89,4,39,card,insufficient_funds,24,10440.78,0,1
